NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
4      1     24      2       4 __init__@2-5@../algorithms/algorithms/tree/tree.py
4      1     32      2       5 __init__@41-45@../algorithms/algorithms/tree/b_tree.py
4      2     23      1       4 is_symmetric@23-26@../algorithms/algorithms/tree/is_symmetric.py
4      2     19      1       4 print_tree@34-37@../algorithms/algorithms/tree/bin_tree_to_list.py
4      1     30      4       4 __init__@26-29@../algorithms/algorithms/tree/construct_tree_postorder_preorder.py
4      1     39      3      10 construct_tree@77-86@../algorithms/algorithms/tree/construct_tree_postorder_preorder.py
4      2     25      1       4 longest_common_prefix_v3@55-58@../algorithms/algorithms/strings/longest_common_prefix.py
4      2     25      1       6 count_ones_recur@17-22@../algorithms/algorithms/bit/count_ones.py
4      1     39      1       6 swap_pair@16-21@../algorithms/algorithms/bit/swap_pair.py
4      2     45      1       4 has_alternative_bit_fast@35-38@../algorithms/algorithms/bit/has_alternative_bit.py
4      3     62      1       4 wiggle_sort@4-7@../algorithms/algorithms/sort/wiggle_sort.py
4      1     22      1       4 __init__@40-43@../algorithms/algorithms/unionfind/count_islands.py
4      1     29      2       8 add@45-52@../algorithms/algorithms/unionfind/count_islands.py
4      1     22      2       4 __init__@15-18@../algorithms/algorithms/linkedlist/linkedlist.py
4      1     22      2       4 __init__@11-14@../algorithms/algorithms/linkedlist/copy_random_pointer.py
4      1     25      2       4 __init__@13-16@../algorithms/algorithms/graph/path_between_two_vertices_in_digraph.py
4      1     27      3       7 is_reachable@45-51@../algorithms/algorithms/graph/path_between_two_vertices_in_digraph.py
4      2     21      2       7 iterating_markov_chain@33-39@../algorithms/algorithms/graph/markov_chain.py
4      3     41      2       9 __init__@11-19@../algorithms/algorithms/graph/transitive_closure_dfs.py
4      2     28      1      12 transitive_closure@44-55@../algorithms/algorithms/graph/transitive_closure_dfs.py
4      3     33      2       4 __eq__@62-65@../algorithms/algorithms/graph/graph.py
4      1     26      4       4 __init__@13-16@../algorithms/algorithms/graph/minimum_spanning_tree.py
4      2     43      2      12 find_set@56-67@../algorithms/algorithms/graph/minimum_spanning_tree.py
4      2     32      3       8 add_edge@43-50@../algorithms/algorithms/graph/satisfiability.py
4      1     32      4       4 __init__@5-8@../algorithms/algorithms/map/separate_chaining_hashtable.py
4      1     30      2       4 __init__@29-32@../algorithms/algorithms/map/separate_chaining_hashtable.py
4      2     42      3       5 put@105-109@../algorithms/algorithms/map/hashtable.py
4      2     24      2       4 __getitem__@24-27@../algorithms/algorithms/arrays/merge_intervals.py
4      2     22      2       4 __contains__@32-35@../algorithms/algorithms/arrays/merge_intervals.py
4      3     28      2       4 __eq__@37-40@../algorithms/algorithms/arrays/merge_intervals.py
4      1     23      2       4 __init__@36-39@../algorithms/algorithms/compression/huffman_coding.py
4      1     22      2       4 __init__@122-125@../algorithms/algorithms/compression/huffman_coding.py
4      1     22      2       4 __init__@197-200@../algorithms/algorithms/compression/huffman_coding.py
4      1     26      1       4 _generate_codes@301-304@../algorithms/algorithms/compression/huffman_coding.py
4      3     39      2       5 combination@4-8@../algorithms/algorithms/maths/combination.py
4      1     21      2      10 combination_memo@10-19@../algorithms/algorithms/maths/combination.py
4      1     26      4       4 __init__@10-13@../algorithms/algorithms/dp/job_scheduling.py
4      2     27      1       5 peek@83-87@../algorithms/algorithms/queues/queue.py
4      1     22      1       4 __init__@104-107@../algorithms/algorithms/queues/queue.py
4      2     24      1       5 peek@139-143@../algorithms/algorithms/queues/queue.py
4      2     15      1       7 has_next@21-27@../algorithms/algorithms/queues/zigzagiterator.py
4      2     25      1       4 pop@27-30@../algorithms/algorithms/stack/ordered_stack.py
4      2     27      1       5 peek@80-84@../algorithms/algorithms/stack/stack.py
4      2     23      1       4 peek@129-132@../algorithms/algorithms/stack/stack.py
4      2     37      1      10 powerset@25-34@../algorithms/algorithms/set/set_covering.py
4       0.0     0.0        0.0         0     ../algorithms/algorithms/unix/__init__.py
4       0.0     0.0        0.0         0     ../algorithms/algorithms/bfs/__init__.py
4       0.0     0.0        0.0         0     ../algorithms/algorithms/queues/__init__.py
5      2     36      4      16 update_bit@47-62@../algorithms/algorithms/tree/fenwick_tree/fenwick_tree.py
5      2     46      1      13 construct@65-77@../algorithms/algorithms/tree/fenwick_tree/fenwick_tree.py
5      2     55      3       5 __init__@7-11@../algorithms/algorithms/tree/segment_tree/segment_tree.py
